instructor_id,total_sessions,total_hours,avg_satisfaction,certification_level,years_experience,location,pass_rate
INST-001,126,509.9,3.9126984126984126,Senior,14,Vienna,74.60317460317461
INST-002,20,74.0,3.9,Standard,13,Zurich,60.0
INST-003,135,532.8,3.903703703703704,Standard,25,Zurich,80.74074074074075
INST-004,50,198.6,4.12,Standard,23,Vienna,84.0
INST-006,53,209.7,3.8867924528301887,Standard,17,Brussels,83.01886792452831
INST-007,18,74.9,3.6666666666666665,Senior,25,Frankfurt,61.111111111111114
INST-008,71,269.0,3.8450704225352115,Standard,13,Zurich,81.69014084507043
INST-009,115,444.9,3.8347826086956522,Standard,5,Zurich,76.52173913043478
INST-010,172,655.3,4.0523255813953485,Standard,14,Brussels,75.0
INST-011,152,593.3,3.8684210526315788,Standard,19,Vienna,76.31578947368422
INST-012,48,184.2,3.9166666666666665,Senior,2,Berlin,79.16666666666666
INST-013,53,194.8,3.792452830188679,Junior,5,Berlin,81.13207547169812
INST-014,174,693.0,3.942528735632184,Junior,13,Zurich,82.18390804597702
INST-015,172,692.1,3.895348837209302,Standard,13,Vienna,76.16279069767442
INST-016,173,692.3,3.953757225433526,Senior,17,Munich,73.98843930635837
INST-017,83,339.2,3.9036144578313254,Senior,10,Frankfurt,75.90361445783132
INST-018,70,284.5,3.857142857142857,Junior,23,Berlin,75.71428571428571
INST-019,214,848.6,3.7523364485981308,Standard,9,Munich,76.63551401869158
INST-020,179,723.6,3.910614525139665,Senior,4,Berlin,71.50837988826815
INST-022,56,224.3,3.5892857142857144,Standard,25,Frankfurt,71.42857142857143
INST-023,52,208.7,3.730769230769231,Standard,5,Munich,78.84615384615384
INST-024,156,626.5,3.9294871794871793,Standard,23,Berlin,77.56410256410257
INST-025,158,643.1,3.8354430379746836,Senior,8,Zurich,77.84810126582279
