session_id,date,simulator_id,instructor_id,student_id,training_type,scheduled_duration_hours,actual_duration_hours,outcome,student_satisfaction_score
SESS-02220,2024-01-01,SIM-003,INST-019,STU-5705,Type Rating,2.3,2.3,Passed,4
SESS-01774,2024-01-01,SIM-002,INST-014,STU-3416,Line Training,3.8,3.5,Passed,3
SESS-02060,2024-01-02,SIM-002,INST-019,STU-8093,Recurrent Training,2.4,2.6999999999999997,Cancelled,2
SESS-02089,2024-01-02,SIM-007,INST-020,STU-6361,Type Rating,3.9,3.8,Passed,5
SESS-02471,2024-01-02,SIM-004,INST-022,STU-7162,Recurrent Training,5.4,5.4,Completed,3
SESS-02406,2024-01-02,SIM-002,INST-016,STU-4501,Type Rating,5.8,5.7,Failed,4
SESS-00290,2024-01-02,SIM-002,INST-019,STU-1372,Upgrade Training,2.5,3.0,Cancelled,3
SESS-01295,2024-01-02,SIM-007,INST-017,STU-6278,Initial Training,4.1,3.5999999999999996,Passed,4
SESS-01428,2024-01-02,SIM-004,INST-011,STU-4330,Recurrent Training,4.8,5.3,Passed,3
SESS-02382,2024-01-03,SIM-006,INST-001,STU-5286,Type Rating,5.6,5.699999999999999,Failed,3
SESS-01055,2024-01-03,SIM-007,INST-007,STU-9618,Upgrade Training,2.8,3.0999999999999996,Cancelled,2
SESS-02420,2024-01-03,SIM-008,INST-015,STU-9647,Type Rating,3.0,3.5,Failed,2
SESS-01115,2024-01-03,SIM-012,INST-003,STU-8424,Type Rating,3.8,3.5999999999999996,Passed,3
SESS-01896,2024-01-04,SIM-003,INST-009,STU-7226,Upgrade Training,2.4,2.6999999999999997,Passed,4
SESS-00630,2024-01-04,SIM-009,INST-019,STU-7144,Type Rating,4.3,4.5,Passed,5
SESS-01262,2024-01-04,SIM-002,INST-016,STU-2058,Upgrade Training,3.3,3.6999999999999997,Passed,3
SESS-00613,2024-01-04,SIM-006,INST-009,STU-9222,Initial Training,5.2,5.6000000000000005,Failed,3
SESS-01790,2024-01-04,SIM-005,INST-017,STU-6523,Initial Training,5.5,5.9,Completed,5
SESS-01973,2024-01-04,SIM-006,INST-001,STU-1867,Upgrade Training,5.9,6.1000000000000005,Passed,4
SESS-01289,2024-01-04,SIM-008,INST-025,STU-1685,Type Rating,2.2,1.8000000000000003,Passed,5
SESS-01766,2024-01-05,SIM-001,INST-003,STU-3600,Line Training,4.8,4.7,Passed,4
SESS-00699,2024-01-05,SIM-006,INST-010,STU-1688,Upgrade Training,2.5,2.6,Passed,5
SESS-01552,2024-01-05,SIM-002,INST-010,STU-6769,Type Rating,2.7,3.2,Passed,5
SESS-00320,2024-01-05,SIM-005,INST-017,STU-3807,Initial Training,4.2,3.8000000000000003,Completed,4
SESS-01238,2024-01-06,SIM-006,INST-014,STU-5105,Initial Training,5.4,5.0,Passed,3
SESS-02153,2024-01-06,SIM-005,INST-004,STU-3103,Initial Training,2.9,3.0,Passed,5
SESS-02119,2024-01-06,SIM-007,INST-006,STU-5493,Type Rating,5.4,5.800000000000001,Passed,4
SESS-02167,2024-01-07,SIM-005,INST-015,STU-2847,Type Rating,3.5,3.5,Passed,4
SESS-01786,2024-01-07,SIM-009,INST-025,STU-3635,Type Rating,4.6,4.3999999999999995,Passed,5
SESS-00062,2024-01-07,SIM-009,INST-010,STU-7882,Line Training,2.3,2.5999999999999996,Passed,3
SESS-01981,2024-01-07,SIM-011,INST-015,STU-1076,Recurrent Training,2.0,1.8,Cancelled,3
SESS-01703,2024-01-07,SIM-009,INST-014,STU-1591,Initial Training,2.9,3.1999999999999997,Passed,5
SESS-00882,2024-01-08,SIM-007,INST-017,STU-3822,Type Rating,3.0,3.1,Passed,4
SESS-02464,2024-01-08,SIM-010,INST-024,STU-3645,Upgrade Training,2.7,2.8000000000000003,Passed,4
SESS-00002,2024-01-08,SIM-008,INST-020,STU-2528,Type Rating,2.2,2.6,Cancelled,2
SESS-01623,2024-01-08,SIM-009,INST-015,STU-5094,Upgrade Training,4.3,4.6,Cancelled,2
SESS-00138,2024-01-08,SIM-009,INST-025,STU-6869,Type Rating,4.6,4.8999999999999995,Completed,3
SESS-02380,2024-01-09,SIM-005,INST-017,STU-9615,Upgrade Training,3.8,3.5,Passed,3
SESS-00836,2024-01-09,SIM-007,INST-014,STU-3359,Recurrent Training,2.5,2.7,Passed,4
SESS-00315,2024-01-09,SIM-003,INST-024,STU-9673,Type Rating,4.1,4.3,Passed,5
SESS-00402,2024-01-09,SIM-007,INST-020,STU-2106,Initial Training,5.8,5.3,Passed,3
SESS-01923,2024-01-09,SIM-004,INST-019,STU-4255,Recurrent Training,2.6,2.8000000000000003,Passed,4
SESS-02312,2024-01-09,SIM-006,INST-014,STU-8705,Upgrade Training,4.8,4.5,Passed,5
SESS-01879,2024-01-09,SIM-009,INST-025,STU-8163,Type Rating,5.7,6.2,Passed,5
SESS-02436,2024-01-09,SIM-012,INST-011,STU-5664,Recurrent Training,4.6,4.8999999999999995,Passed,4
SESS-00293,2024-01-09,SIM-007,INST-002,STU-4943,Upgrade Training,5.1,4.8,Failed,2
SESS-01135,2024-01-10,SIM-011,INST-004,STU-2970,Recurrent Training,5.0,5.2,Passed,5
SESS-01006,2024-01-10,SIM-008,INST-020,STU-9457,Initial Training,4.7,5.1000000000000005,Passed,5
SESS-02414,2024-01-10,SIM-010,INST-023,STU-1690,Type Rating,5.0,5.4,Passed,3
SESS-00619,2024-01-10,SIM-002,INST-003,STU-5644,Initial Training,4.4,4.800000000000001,Passed,3
SESS-01374,2024-01-11,SIM-001,INST-010,STU-3066,Initial Training,2.5,2.2,Cancelled,4
SESS-00484,2024-01-11,SIM-012,INST-016,STU-6535,Initial Training,5.7,6.0,Failed,3
SESS-01755,2024-01-11,SIM-005,INST-008,STU-3774,Recurrent Training,3.3,3.5999999999999996,Passed,3
SESS-01410,2024-01-11,SIM-008,INST-019,STU-2802,Type Rating,4.4,4.7,Passed,5
SESS-02332,2024-01-11,SIM-006,INST-019,STU-2031,Upgrade Training,5.2,5.3,Passed,3
SESS-02334,2024-01-11,SIM-009,INST-010,STU-6363,Initial Training,5.9,6.2,Completed,5
SESS-02358,2024-01-11,SIM-007,INST-006,STU-4215,Recurrent Training,5.7,5.6000000000000005,Passed,4
SESS-02391,2024-01-12,SIM-006,INST-020,STU-2386,Recurrent Training,3.2,3.2,Cancelled,3
SESS-01112,2024-01-12,SIM-003,INST-009,STU-1456,Upgrade Training,3.4,3.8,Passed,5
SESS-01610,2024-01-12,SIM-012,INST-019,STU-4670,Recurrent Training,2.2,2.5,Passed,4
SESS-01502,2024-01-12,SIM-003,INST-003,STU-7778,Recurrent Training,3.6,3.2,Passed,5
SESS-02015,2024-01-13,SIM-010,INST-023,STU-8217,Recurrent Training,3.3,2.9,Passed,3
SESS-02048,2024-01-13,SIM-011,INST-011,STU-9021,Upgrade Training,3.1,2.9,Passed,3
SESS-01138,2024-01-13,SIM-012,INST-001,STU-9649,Type Rating,3.4,3.1999999999999997,Passed,4
SESS-00935,2024-01-13,SIM-003,INST-011,STU-7628,Recurrent Training,4.1,4.5,Passed,3
SESS-00127,2024-01-13,SIM-001,INST-010,STU-6374,Line Training,2.4,2.8,Passed,3
SESS-02093,2024-01-13,SIM-004,INST-013,STU-1472,Line Training,3.0,3.2,Passed,4
SESS-01635,2024-01-14,SIM-005,INST-008,STU-6508,Line Training,2.1,2.5,Passed,4
SESS-02303,2024-01-14,SIM-009,INST-015,STU-5671,Line Training,5.0,4.8,Passed,5
SESS-01680,2024-01-14,SIM-004,INST-011,STU-7054,Upgrade Training,5.2,4.9,Completed,5
